	Amphimedon_pep.fa_ed	Bombyx_pep.fa_ed	Caenorhabditis_ed	Capitella_pep.fa_ed	Ciona_pep.fa_ed	Crassostrea_pep.fa_ed	Danio_pep.fa_ed	Daphnia.fa_ed	Drosophila_pep.fa_ed	Helobdella_pep.fa_ed	Homo_pep2.fa_ed	Lingula_pep2.fa_ed	Lottia.fa_ed	Lottia_pep.fa_ed	Mnemiopsis_leidyi.prot.fa_ed	Monosiga_pep2.fa_ed	Mus.fa_ed	Mya_pep.fa_ed	Nasonia_pep.fa_ed	Nematostella_pep.fa_ed	Octopus_pep.fa_ed	Pelodiscus_pep.fa_ed	Petromyzon_pep.fa_ed	Priapulus	Rhodnius_pep.fa_ed	Saccoglossus_kowalevskii.prot.fa_ed	Salpingoeca_pep2.fa_ed	Stegodyphus_pep.fa_ed	Strongylocentrotus_pep.fa_ed	Tribolium_pep.fa_ed	Trichoplax_pep.fa_ed	hydra_pep2.fa_ed	Total
OG0000000	412	15	3	72	10	7	16	12	0	7	2	155	16	1	62	0	1	13	244	18	99	51	3	147	18	15	23	108	276	99	3	167	2075
OG0000001	1	67	5	33	53	25	129	138	148	40	124	39	39	91	20	0	92	30	131	69	61	96	65	43	37	32	0	55	66	117	21	18	1885
OG0000002	1	24	43	74	23	54	167	31	23	46	89	57	61	95	6	0	95	49	13	148	52	91	59	54	21	136	0	33	58	20	43	32	1698
OG0000003	6	50	34	56	35	44	133	46	58	88	111	47	56	87	18	0	87	49	34	70	42	85	36	39	27	52	0	38	47	47	14	18	1554
OG0000004	100	0	1	195	0	1	2	6	0	47	1	15	17	0	107	0	0	10	68	48	5	125	0	9	3	3	0	43	126	52	0	367	1351
OG0000005	1	1	28	112	36	127	75	2	19	8	75	101	35	56	5	6	56	156	2	37	5	36	10	8	1	109	9	12	100	3	2	22	1255
OG0000006	1	25	32	59	17	25	130	17	33	45	62	35	31	63	23	0	63	33	11	108	28	47	39	46	24	69	0	27	56	21	25	49	1244
OG0000007	153	3	5	83	39	120	56	6	16	77	37	35	63	26	0	2	26	76	1	53	12	33	16	16	3	41	0	23	47	6	0	3	1077
OG0000008	0	7	30	59	50	44	67	18	7	26	42	24	40	72	1	0	72	30	6	35	21	34	12	91	7	68	0	31	85	9	2	21	1011
OG0000009	166	1	0	53	3	47	43	4	5	8	41	39	20	26	24	0	26	68	2	50	32	28	29	6	2	17	0	3	211	2	36	8	1000
OG0000010	16	7	5	102	56	24	67	13	10	20	57	44	37	53	25	3	53	51	17	45	31	35	21	23	13	58	4	13	34	14	14	19	984
OG0000011	4	39	13	70	13	22	31	30	39	36	30	20	54	17	20	3	17	86	21	20	107	14	26	38	20	30	8	81	27	24	4	18	982
OG0000012	165	4	1	30	2	2	0	19	0	0	0	113	7	0	0	0	0	15	85	14	1	0	0	118	6	21	0	93	130	25	0	102	953
OG0000013	39	11	43	52	26	36	61	32	16	32	61	19	32	40	14	20	40	47	9	30	22	28	25	18	10	21	20	28	43	12	9	21	917
OG0000014	128	5	9	18	5	82	21	10	9	19	16	35	56	11	7	0	12	56	6	54	19	10	2	13	6	85	1	7	141	7	3	10	863
OG0000015	1	41	23	29	58	32	26	14	25	9	43	72	37	27	7	0	27	24	11	54	48	17	5	44	9	58	0	36	42	13	0	16	848
OG0000016	18	3	3	69	28	42	6	8	0	31	24	30	34	6	3	5	6	76	0	132	40	1	7	16	2	21	6	26	130	1	36	16	826
OG0000017	18	17	15	29	22	21	67	17	19	25	66	21	27	47	11	7	47	21	13	27	16	32	26	22	15	57	5	17	21	21	19	14	802
OG0000018	0	18	9	45	19	40	28	17	14	18	38	47	42	24	0	0	24	57	9	55	38	16	14	52	12	68	0	24	43	19	1	4	795
OG0000019	5	2	2	35	9	19	107	0	0	58	91	8	24	78	5	1	78	18	0	11	143	19	5	7	6	7	5	15	8	1	4	4	775
OG0000020	109	15	0	9	1	14	15	21	5	1	1	57	24	3	10	0	3	61	62	7	0	40	2	42	1	3	1	40	106	11	0	101	765
OG0000021	52	2	2	5	30	15	42	9	4	11	49	9	12	29	19	3	29	42	1	31	44	29	7	13	1	32	7	14	87	8	53	55	746
OG0000022	32	6	3	45	42	9	29	13	7	8	56	43	15	22	16	5	22	87	5	19	22	15	10	14	7	22	13	35	91	6	0	6	725
OG0000023	39	9	19	26	13	20	36	45	13	28	53	13	19	36	4	9	36	19	8	37	18	19	13	19	10	25	9	21	21	10	5	72	724
OG0000024	3	18	17	37	16	33	46	21	23	28	42	32	38	40	3	0	40	22	14	26	20	24	14	17	16	37	0	23	25	23	11	10	719
OG0000025	6	22	20	31	14	20	45	19	23	31	54	23	33	41	14	0	41	24	15	34	21	33	4	17	16	28	0	14	31	20	8	16	718
OG0000026	0	12	47	47	11	37	40	15	17	26	38	35	25	19	0	0	19	38	16	42	32	15	7	26	11	53	0	18	29	22	0	17	714
OG0000027	24	15	28	64	7	19	8	15	36	51	28	62	27	14	30	0	14	12	9	43	6	10	8	24	6	45	1	10	43	24	12	14	709
OG0000028	31	21	1	19	26	22	27	12	16	30	29	32	16	24	27	13	24	36	11	23	26	23	24	20	16	16	9	18	55	15	13	23	698
OG0000029	1	55	33	37	14	25	12	22	29	18	23	11	25	28	9	7	28	30	35	18	13	11	2	15	20	37	4	20	43	42	23	1	691
OG0000030	0	12	46	29	9	19	52	14	18	21	55	28	16	34	0	1	34	18	8	49	18	27	19	28	12	45	0	31	8	15	0	16	682
OG0000031	35	16	11	21	8	15	29	11	21	15	45	28	15	22	9	10	23	29	20	40	18	14	9	13	8	46	9	23	51	34	26	6	680
OG0000032	29	8	1	43	23	29	23	26	4	1	28	46	12	31	8	2	31	44	5	8	25	24	10	37	12	65	2	27	44	6	0	4	658
OG0000033	9	37	74	33	0	0	58	25	34	15	33	7	7	28	13	1	28	0	19	10	12	8	6	11	16	28	1	0	60	26	30	1	630
OG0000034	1	6	17	30	31	33	28	38	10	8	15	39	34	14	7	0	14	16	4	25	24	15	11	26	5	52	0	11	47	11	28	23	623
OG0000035	27	0	13	39	37	53	23	0	0	17	32	32	33	13	2	8	13	55	0	70	71	15	20	2	0	1	17	0	1	0	0	20	614
OG0000036	1	2	5	47	39	53	1	1	0	14	2	44	25	2	28	5	2	87	0	66	24	1	5	12	5	22	3	5	16	1	4	80	602
OG0000037	0	9	24	19	7	24	43	6	17	32	38	31	19	29	36	1	29	27	5	46	19	27	21	15	6	5	1	9	6	6	3	40	600
OG0000038	1	9	26	66	7	32	13	9	10	37	8	17	30	9	13	11	9	31	6	20	18	5	10	43	6	55	18	18	21	7	16	15	596
OG0000039	74	16	0	37	0	3	2	54	0	49	0	11	5	0	4	0	0	31	31	1	9	0	0	10	5	2	0	3	17	5	1	205	575
OG0000040	1	9	9	43	27	31	29	21	17	17	30	41	32	17	4	0	17	30	6	11	20	11	12	40	9	24	0	14	27	10	15	1	575
OG0000041	27	28	18	15	6	13	6	12	33	8	16	7	9	13	0	0	13	16	42	20	23	5	6	3	46	16	0	24	22	67	44	0	558
OG0000042	15	13	11	37	19	26	12	8	19	29	19	16	23	16	24	9	16	56	10	22	18	11	4	12	9	25	9	8	29	12	5	16	558
OG0000043	7	10	8	9	15	8	44	8	23	19	73	13	12	38	12	4	38	14	9	25	22	20	8	17	9	6	4	11	12	10	8	22	538
OG0000044	22	7	4	19	4	13	85	8	4	2	27	18	16	24	2	1	25	21	6	30	18	11	10	25	3	16	1	12	20	7	32	42	535
OG0000045	17	7	10	19	19	14	39	9	18	21	48	15	15	21	15	0	21	17	9	15	18	22	13	25	13	17	0	10	21	20	15	8	531
OG0000046	16	6	32	18	17	19	16	31	11	3	4	45	13	3	8	0	3	5	6	64	15	6	4	27	7	24	0	47	26	2	6	45	529
OG0000047	3	10	53	18	7	15	34	12	14	31	39	14	18	29	3	0	29	16	8	20	21	23	17	13	11	13	0	8	18	11	5	9	522
OG0000048	32	9	5	24	14	13	37	8	13	21	48	10	9	36	10	10	36	14	4	4	14	26	16	13	6	11	15	10	20	7	10	12	517
OG0000049	7	9	11	12	15	15	37	10	13	23	63	16	13	45	6	0	45	13	6	15	12	23	13	18	9	11	0	14	13	10	7	11	515
OG0000050	1	0	0	85	5	7	8	1	0	12	10	19	4	5	0	0	5	36	0	172	2	5	5	3	1	3	0	6	87	0	1	23	506
OG0000051	53	1	0	4	0	6	44	36	1	1	0	3	1	0	0	0	0	9	12	2	2	0	0	0	13	0	0	151	3	12	1	149	504
OG0000052	5	7	5	16	16	37	26	13	19	9	30	29	20	21	10	0	21	28	29	19	15	14	9	10	5	17	0	20	33	6	3	10	502
OG0000053	4	30	12	7	12	19	4	34	30	4	22	9	8	24	8	5	24	17	28	5	10	12	5	3	13	19	5	25	10	36	24	11	479
OG0000054	1	14	60	13	5	10	21	18	13	19	22	13	11	16	13	4	16	17	5	33	11	13	6	21	10	24	3	20	21	18	1	6	478
OG0000055	3	5	12	24	42	21	14	16	5	8	18	21	22	16	4	0	16	19	2	44	10	10	7	7	10	31	1	20	42	3	6	17	476
OG0000056	3	13	1	52	2	55	26	7	10	11	9	51	36	8	0	0	8	39	6	6	16	10	12	2	5	31	0	14	25	10	0	3	471
OG0000057	89	1	0	32	2	6	0	20	0	2	0	49	12	0	2	0	0	35	6	13	3	0	0	28	0	30	0	3	7	9	2	115	466
OG0000058	45	14	0	5	2	1	12	0	2	2	4	14	3	0	3	0	0	9	6	2	67	0	3	19	12	43	1	89	6	6	1	94	465
OG0000059	0	13	9	48	6	23	25	8	16	15	23	12	36	16	21	0	16	26	7	16	13	12	8	10	7	9	0	28	9	11	14	1	458
OG0000060	0	3	0	42	12	13	31	4	2	8	31	23	8	24	41	0	24	9	5	5	31	27	16	5	2	38	0	11	26	2	2	7	452
OG0000061	1	2	0	16	22	31	12	5	4	1	15	53	13	10	7	1	10	26	2	35	22	9	7	9	1	23	1	16	61	1	17	8	441
OG0000062	4	10	6	4	0	0	0	41	0	9	0	0	0	0	2	0	0	0	16	1	178	0	0	13	7	0	3	26	2	15	1	98	436
OG0000063	2	5	11	11	6	12	39	8	9	20	29	15	15	23	5	0	23	17	8	23	14	14	11	23	7	15	0	16	18	8	6	21	434
OG0000064	2	2	5	65	44	15	16	82	3	3	7	6	16	3	0	0	3	21	3	15	7	4	0	25	1	0	1	9	36	4	14	19	431
OG0000065	106	8	4	31	2	1	3	31	2	13	3	0	1	2	8	0	2	20	12	0	5	5	3	3	0	0	0	5	13	2	0	136	421
OG0000066	5	14	3	19	7	11	17	23	16	19	14	19	9	10	9	1	10	5	11	11	8	10	8	20	6	35	2	19	25	12	22	15	415
OG0000067	0	4	6	15	8	24	38	7	7	8	41	18	15	27	0	0	27	31	7	0	24	20	12	12	8	6	0	21	8	13	1	5	413
OG0000068	5	8	6	11	4	16	30	24	14	17	35	8	14	24	5	0	24	23	9	7	15	17	10	9	6	7	0	8	18	8	8	19	409
OG0000069	18	4	46	24	6	20	19	23	27	6	28	11	23	20	0	1	20	16	0	20	9	10	9	10	1	9	0	9	6	5	0	9	409
OG0000070	35	2	8	4	8	30	43	2	4	10	21	49	5	8	1	0	8	27	2	5	8	6	7	3	4	23	0	2	60	2	15	7	409
OG0000071	97	1	0	2	5	0	3	0	0	7	2	6	0	3	8	0	3	7	14	4	41	1	0	14	1	5	0	29	10	6	0	139	408
OG0000072	2	5	20	9	6	16	6	25	20	10	15	18	15	12	5	0	12	20	23	19	14	6	9	17	10	9	1	36	11	17	4	16	408
OG0000073	5	4	7	10	16	9	19	3	7	9	24	11	6	26	8	1	26	10	4	17	19	13	8	19	6	32	1	10	34	3	26	7	400
OG0000074	4	12	7	9	8	8	34	12	11	26	29	13	11	25	6	2	25	9	9	17	11	17	8	10	8	9	2	16	7	11	6	18	400
OG0000075	2	8	6	8	7	8	31	12	8	5	35	14	8	27	0	0	27	12	6	19	12	22	19	24	5	11	0	15	29	12	1	7	400
OG0000076	0	3	9	4	6	4	30	11	5	28	36	13	7	28	22	0	28	4	2	23	13	19	9	17	4	10	0	6	29	5	0	22	397
OG0000077	4	4	0	58	12	5	13	9	4	0	11	34	9	9	19	1	9	20	3	7	9	10	7	26	5	51	1	1	38	2	0	11	392
OG0000078	13	12	10	17	11	19	23	15	10	9	21	17	12	12	4	3	12	12	6	5	18	5	5	8	7	14	1	9	29	21	16	16	392
OG0000079	4	5	10	31	23	12	18	10	9	9	18	9	16	10	5	1	10	17	4	14	13	12	7	29	7	16	1	11	40	7	2	12	392
OG0000080	7	8	7	13	7	11	37	13	9	14	28	11	13	25	5	1	25	10	9	12	14	17	13	12	6	9	2	13	10	11	8	10	390
OG0000081	110	3	2	5	7	10	13	1	3	6	17	31	4	7	1	2	7	10	1	24	6	6	4	13	2	30	0	3	8	2	4	43	385
OG0000082	20	16	11	21	9	14	12	23	19	9	11	16	11	11	13	8	11	10	12	12	6	9	3	13	16	9	6	8	15	13	1	14	382
OG0000083	4	2	0	11	0	4	0	25	0	17	0	14	16	0	2	0	0	22	20	10	15	0	0	7	0	0	0	1	2	0	0	210	382
OG0000084	33	5	1	18	0	0	1	13	2	16	12	0	5	7	1	3	7	8	1	3	15	61	15	13	3	4	6	71	2	3	2	50	381
OG0000085	2	8	5	12	11	12	28	12	6	16	28	14	11	24	3	0	24	14	7	20	15	21	9	13	6	13	0	15	11	9	2	10	381
OG0000086	32	4	3	19	12	11	21	12	6	10	25	30	16	9	1	0	9	12	6	8	25	8	6	14	2	19	0	6	23	6	5	17	377
OG0000087	4	5	19	8	15	5	37	10	6	12	39	6	6	41	2	1	41	7	3	5	13	21	18	9	5	6	1	7	8	5	4	7	376
OG0000088	9	0	4	14	12	17	15	2	2	8	31	22	16	22	8	14	22	15	2	14	9	15	6	14	2	13	17	7	14	2	12	16	376
OG0000089	5	20	6	9	11	8	10	11	19	8	5	19	22	7	1	1	7	12	26	14	34	6	2	17	18	9	1	15	18	24	3	6	374
OG0000090	1	8	31	9	1	16	9	26	22	4	16	33	23	12	3	2	12	16	11	5	29	4	0	15	9	3	2	17	0	23	1	11	374
OG0000091	0	4	1	16	6	14	31	10	9	15	15	20	21	11	2	0	11	32	3	9	12	20	12	21	1	22	0	24	21	3	3	5	374
OG0000092	3	5	5	11	7	11	36	9	7	8	31	16	10	27	8	0	27	10	7	6	11	22	12	5	6	23	0	14	11	9	5	9	371
