ABL1	NM_007313 
ADORA1	NM_000674 
ADORA2A	NM_000675
PARP1	NM_001618
PARP4	NM_006437
ADRA1A	NM_033304 
AGTR2	NM_000686
AHR	NM_001621
AIF1	NM_001623 
AKT1	NM_001014431 
AKT2	NM_001626
ALOX12	NM_000697
APAF1	NM_013229 
NUDT2	NM_147172 
APEX1	NM_080649 
BIRC2	NM_001166
BIRC3	NM_182962 
BIRC4	NM_001167
BIRC5	NM_001012271 
APLP1	NM_001024807 
APP	NM_201413 
FAS	NM_152871 
FASLG	NM_000639
RHOA	NM_001664
RHOB	NM_004040
ATM	NM_000051 
BAD	NM_004322 
BAG1	NM_004323
BAK1	NM_001188
BARD1	NM_000465
BAX	NM_004324 
BCL2	NM_000657 
BCL2A1	NM_004049
BCL2L1	NM_138578 
BCL2L2	NM_004050
BCL3	NM_005178
BCL6	NM_138931 
TNFRSF17	NM_001192
BDNF	NM_170733 
BID	NM_001196 
BIK	NM_001197
BMP4	NM_130850 
BNIP1	NM_013979 
BNIP2	NM_004330
BNIP3	NM_004052
BOK	NM_032515
BRCA1	NM_007300 
BRAF	NM_004333
BTK	NM_000061
C5	NM_001735
C6	NM_000065
C7	NM_000587
C8A	NM_000562
C8B	NM_000066
C8G	NM_000606
C9	NM_001737
CAPN1	NM_005186
CAPN6	NM_014289
CASP1	NM_033293 
CASP2	NM_032983 
CASP3	NM_032991 
CASP4	NM_001225 
CASP5	NM_004347
CASP6	NM_001226 
CASP7	NM_001227 
CASP8	NM_001080125 
CASP9	NM_001229 
CASP10	NM_001230 
CAV1	NM_001753
CAV2	NM_001233 
CBL	NM_005188
CD2	NM_001767
CD5L	NM_005894
CD14	NM_000591 
CD27	NM_001242
CD28	NM_006139
TNFRSF8	NM_001243 
TNFSF8	NM_001244
SCARB1	NM_001082959 
CD38	NM_001775
CD40	NM_001250 
CD40LG	NM_000074
CD70	NM_001252
CDC2L1	NM_033488 
CDC25A	NM_201567 
CDKN1A	NM_078467 
CDKN2A	NM_000077 
CDKN2D	NM_079421 
CGB	NM_000737
CHUK	NM_001278
CIDEA	NM_001279 
CLU	NM_001831 
CLN3	NM_001042432 
CNR1	NM_016083 
CNR2	NM_001841
CNTF	NM_000614
MAPK14	NM_139012 
CSE1L	NM_001316
CTNNB1	NM_001098210 
CTSD	NM_001909
CYC1	NM_001916
DAD1	NM_001344
DAP	NM_004394
DAPK1	NM_004938
DAPK3	NM_001348
DAXX	NM_001350
DCC	NM_005215
GADD45A	NM_001924
DDIT3	NM_004083
DFFA	NM_004401 
DFFB	NM_004402
DNASE1	NM_005223
DNASE1L3	NM_004944
DNASE2	NM_001375
DOCK1	NM_001380
DUSP6	NM_022652 
DUSP7	NM_001947
E2F1	NM_005225
E2F3	NM_001949
E2F5	NM_001083589 
EIF4G2	NM_001418 
EMP1	NM_001423
EMP2	NM_001424
EMP3	NM_001425
EP300	NM_001429
ERCC2	NM_000400
ERCC3	NM_000122
ERN1	NM_152461 
F2	NM_000506
F2R	NM_001992
FANCA	NM_001018112 
PTK2B	NM_004103 
FIGF	NM_004469
FOXO1	NM_002015
FOXO3	NM_001455 
FOSL2	NM_005253
GAB1	NM_002039 
GAS2	NM_005256 
GDNF	NM_199231 
GML	NM_002066
GPX1	NM_201397 
GPX4	NM_002085 
GRB2	NM_002086 
GSK3B	NM_002093
GSN	NM_000177 
GSR	NM_000637
GSTM1	NM_000561 
GSTP1	NM_000852
GSTT2	NM_000854
GZMH	NM_033423
GZMA	NM_006144
GZMB	NM_004131
GZMM	NM_005317
HD	NM_002111
HDAC1	NM_004964
HSPA5	NM_005347
HSPE1	NM_002157
IAPP	NM_000415
IFNA2	NM_000605
IFNB1	NM_002176
IGF1R	NM_000875
IGF2	NM_001007139 
IGF2R	NM_000876
IGFALS	NM_004970
IGFBP2	NM_000597
IGFBP4	NM_001552
IGFBP5	NM_000599
IGFBP6	NM_002178
IKBKB	NM_001556
IL1A	NM_000575
IL1B	NM_000576
IL2	NM_000586
IL2RA	NM_000417
IL3	NM_000588
IL3RA	NM_002183
IL10	NM_000572
IL10RB	NM_000628
TNFRSF9	NM_001561
IL17A	NM_002190
FOXK2	NM_004514 
IRF1	NM_002198
JUN	NM_002228
JUNB	NM_002229
JUND	NM_005354
LALBA	NM_002289
LGALS1	NM_002305
LIMS1	XM_001129158 
LTA	NM_000595
LTB	NM_009588 
LTBR	NM_002342
CD180	NM_005582
LYZ	NM_000239
MAPT	NM_016834 
MCL1	NM_021960 
MDM2	NM_006881 
MDM4	NM_002393
MAP3K1	XM_042066 
MAP3K3	NM_203351 
MAP3K5	NM_005923
MAP3K10	NM_002446
MMP9	NM_004994
MPO	NM_000250
MX1	NM_002462
MYB	NM_005375
MYBL2	NM_002466
MYC	XM_001129520 
GADD45B	NM_015675
NAIP	NM_022892 
NFKB1	NM_003998
NFKB2	NM_001077494 
NFKBIA	NM_020529
NFKBIB	NM_001001716 
NFKBIE	NM_004556
NGFB	NM_002506
NGFR	NM_002507
NME3	NM_002513
NOS1	NM_000620
NOS2A	NM_000625
NPM1	NM_001037738 
NTF3	NM_002527
NTRK1	NM_001012331 
TNFRSF11B	NM_002546
P2RX1	NM_002558
SERPINB2	NM_002575
PAK1	NM_002576
PAK2	NM_002577 
PAWR	NM_002583
PAX3	NM_181457 
PAX7	NM_013945 
PDCD1	NM_005018
PDCD2	NM_144781 
symbol	gene
PDE1B	NM_000924
